datetime,recordid,login,department,location,ClientIP,clientpublicIP,serverip,requestmethod,requestsize,responsesize,transactionsize,url,refererURL,host,urlcategory,urlsupercategory,urlclass,action,reason,respcode,useragent,threatname,threatcategory,threatclass,appname,appclass,pagerisk,filetype,dlpengine,dlpdictionaries,contenttype,proto,devicehostname,deviceowner,totaltime,cachehit
2024-03-14 03:08:22,3916,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.117,93.184.189.45,GET,390,90198,90588,https://admin.crm-internal.com/export/customers?page=0,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-37,d.kim,6,TCP_HIT
2024-03-14 03:10:39,3917,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.118,93.184.232.118,GET,390,85760,86150,https://admin.crm-internal.com/export/customers?page=1,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-38,d.kim,27,TCP_MISS
2024-03-14 03:12:48,3918,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.119,93.184.243.103,GET,390,119388,119778,https://admin.crm-internal.com/export/customers?page=2,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-39,d.kim,45,TCP_MISS
2024-03-14 03:13:42,3919,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.120,93.184.246.161,GET,390,42924,43314,https://admin.crm-internal.com/export/customers?page=3,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-40,d.kim,10,TCP_HIT
2024-03-14 03:15:47,3920,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.121,93.184.3.87,GET,390,117255,117645,https://admin.crm-internal.com/export/customers?page=4,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-01,d.kim,7,TCP_HIT
2024-03-14 03:17:44,3921,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.122,93.184.35.199,GET,390,47761,48151,https://admin.crm-internal.com/export/customers?page=5,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-02,d.kim,36,TCP_MISS
2024-03-14 03:19:43,3922,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.123,93.184.74.133,GET,390,102246,102636,https://admin.crm-internal.com/export/customers?page=6,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-03,d.kim,68,TCP_MISS
2024-03-14 03:21:22,3923,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.124,93.184.70.37,GET,390,88026,88416,https://admin.crm-internal.com/export/customers?page=7,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-04,d.kim,74,TCP_MISS
2024-03-14 03:23:45,3924,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.125,93.184.196.34,GET,390,44521,44911,https://admin.crm-internal.com/export/customers?page=8,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-05,d.kim,8,TCP_HIT
2024-03-14 03:25:16,3925,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.126,93.184.43.242,GET,390,115316,115706,https://admin.crm-internal.com/export/customers?page=9,,admin.crm-internal.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,25,None,None,None,text/html,HTTPS,KIM-LT-06,d.kim,158,TCP_MISS
